provider,step,source,endpoint,operation_id,function_name,intent_type,target_field,description,test_case_type,execution_result,failure_classification,is_duplicate
gemini,3,gemini/rule,POST /api/v2/multi-detect,post_/api/v2/multi-detect,test_post__api_v2_multi_detect_wrong_type_body_width_coercible_1,wrong_type,width_coercible_1,[rule:wrong_type] Pass coercible_1 wrong type for body field 'width' (expected integer).,wrong_type,pending,,False
gemini,3,gemini/rule,POST /api/v2/multi-detect,post_/api/v2/multi-detect,test_post__api_v2_multi_detect_wrong_type_body_width_coercible_0,wrong_type,width_coercible_0,[rule:wrong_type] Pass coercible_0 wrong type for body field 'width' (expected integer).,wrong_type,pending,,False
gemini,3,gemini/rule,POST /api/v2/multi-detect,post_/api/v2/multi-detect,test_post__api_v2_multi_detect_raw_image_relation_valid,unknown,,[rule:raw_image_relation] w=4xh=4xc=3=48B -> image_data size matches (must_pass).,unknown,pending,,False
gemini,3,gemini/rule,POST /api/v2/multi-detect,post_/api/v2/multi-detect,test_post__api_v2_multi_detect_raw_image_relation_mismatch,unknown,,[rule:raw_image_relation] w=4xh=4xc=3=48B but image_data=10B -> size mismatch (must_fail).,unknown,pending,,False
gemini,3,gemini/rule,POST /api/v2/multi-detect,post_/api/v2/multi-detect,test_post__api_v2_multi_detect_raw_image_relation_invalid_channel,unknown,,[rule:raw_image_relation] channel=0 with raw image payload.,unknown,pending,,False
gemini,3,gemini/rule,POST /api/v2/reset-config,post_/api/v2/reset-config,test_post__api_v2_reset_config_positive,positive,,[rule:positive] Happy-path — valid request should succeed.,positive,pending,,False
gemini,3,gemini/rule,POST /api/v2/save-config,post_/api/v2/save-config,test_post__api_v2_save_config_positive,positive,,[rule:positive] Happy-path — valid request should succeed.,positive,pending,,False
gemini,3,gemini/rule,GET /api/v2/templates-count,get_/api/v2/templates-count,test_get__api_v2_templates_count_positive,positive,,[rule:positive] Happy-path — valid request should succeed.,positive,pending,,False
gemini,3,gemini/rule,GET /api/v2/user/{user_id}/template,get_/api/v2/user/{user_id}/template,test_get__api_v2_user__user_id__template_positive,positive,,[rule:positive] Happy-path — valid request should succeed.,positive,pending,,False
gemini,3,gemini/rule,GET /api/v2/user/{user_id}/template,get_/api/v2/user/{user_id}/template,test_get__api_v2_user__user_id__template_wrong_type_user_id_strict,wrong_type,user_id_strict,[rule:wrong_type] Pass strict wrong type for 'user_id' (expected integer).,wrong_type,pending,,False
gemini,3,gemini/rule,GET /api/v2/user/{user_id}/template,get_/api/v2/user/{user_id}/template,test_get__api_v2_user__user_id__template_wrong_type_user_id_coercible_1,wrong_type,user_id_coercible_1,[rule:wrong_type] Pass coercible_1 wrong type for 'user_id' (expected integer).,wrong_type,pending,,False
gemini,3,gemini/rule,GET /api/v2/user/{user_id}/template,get_/api/v2/user/{user_id}/template,test_get__api_v2_user__user_id__template_wrong_type_user_id_coercible_0,wrong_type,user_id_coercible_0,[rule:wrong_type] Pass coercible_0 wrong type for 'user_id' (expected integer).,wrong_type,pending,,False
gemini,3,gemini/rule,GET /api/v2/user/{user_id}/template,get_/api/v2/user/{user_id}/template,test_get__api_v2_user__user_id__template_wrong_type_sub_id_strict,wrong_type,sub_id_strict,[rule:wrong_type] Pass strict wrong type for 'sub_id' (expected integer).,wrong_type,pending,,False
gemini,3,gemini/rule,GET /api/v2/user/{user_id}/template,get_/api/v2/user/{user_id}/template,test_get__api_v2_user__user_id__template_wrong_type_sub_id_coercible_1,wrong_type,sub_id_coercible_1,[rule:wrong_type] Pass coercible_1 wrong type for 'sub_id' (expected integer).,wrong_type,pending,,False
gemini,3,gemini/rule,GET /api/v2/user/{user_id}/template,get_/api/v2/user/{user_id}/template,test_get__api_v2_user__user_id__template_wrong_type_sub_id_coercible_0,wrong_type,sub_id_coercible_0,[rule:wrong_type] Pass coercible_0 wrong type for 'sub_id' (expected integer).,wrong_type,pending,,False
gemini,3,gemini/rule,GET /api/v2/user/{user_id}/templates/count,get_/api/v2/user/{user_id}/templates/count,test_get__api_v2_user__user_id__templates_count_positive,positive,,[rule:positive] Happy-path — valid request should succeed.,positive,pending,,False
gemini,3,gemini/rule,GET /api/v2/user/{user_id}/templates/count,get_/api/v2/user/{user_id}/templates/count,test_get__api_v2_user__user_id__templates_count_wrong_type_user_id_strict,wrong_type,user_id_strict,[rule:wrong_type] Pass strict wrong type for 'user_id' (expected integer).,wrong_type,pending,,False
gemini,3,gemini/rule,GET /api/v2/user/{user_id}/templates/count,get_/api/v2/user/{user_id}/templates/count,test_get__api_v2_user__user_id__templates_count_wrong_type_user_id_coercible_1,wrong_type,user_id_coercible_1,[rule:wrong_type] Pass coercible_1 wrong type for 'user_id' (expected integer).,wrong_type,pending,,False
gemini,3,gemini/rule,GET /api/v2/user/{user_id}/templates/count,get_/api/v2/user/{user_id}/templates/count,test_get__api_v2_user__user_id__templates_count_wrong_type_user_id_coercible_0,wrong_type,user_id_coercible_0,[rule:wrong_type] Pass coercible_0 wrong type for 'user_id' (expected integer).,wrong_type,pending,,False
gemini,3,gemini/rule,GET /api/v2/users,get_/api/v2/users,test_get__api_v2_users_positive,positive,,[rule:positive] Happy-path — valid request should succeed.,positive,pending,,False
gemini,3,gemini/rule,DELETE /api/v2/users,delete_/api/v2/users,test_delete__api_v2_users_positive,positive,,[rule:positive] Happy-path — valid request should succeed.,positive,pending,,False
gemini,3,gemini/rule,GET /api/v2/users-count,get_/api/v2/users-count,test_get__api_v2_users_count_positive,positive,,[rule:positive] Happy-path — valid request should succeed.,positive,pending,,False
gemini,3,gemini/rule,POST /api/v2/validate-image,post_/api/v2/validate-image,test_post__api_v2_validate_image_positive,positive,,[rule:positive] Happy-path — valid request should succeed.,positive,pending,,False
gemini,3,gemini/rule,POST /api/v2/verify,post_/api/v2/verify,test_post__api_v2_verify_positive,positive,,[rule:positive] Match/verify — execution success + domain score validation.,positive,pending,,False
gemini,3,gemini/rule,POST /api/v2/verify,post_/api/v2/verify,test_post__api_v2_verify_wrong_type_body_user_id_strict,wrong_type,user_id_strict,[rule:wrong_type] Pass strict wrong type for body field 'user_id' (expected integer).,wrong_type,pending,,False
gemini,3,gemini/rule,POST /api/v2/verify,post_/api/v2/verify,test_post__api_v2_verify_wrong_type_body_user_id_coercible_1,wrong_type,user_id_coercible_1,[rule:wrong_type] Pass coercible_1 wrong type for body field 'user_id' (expected integer).,wrong_type,pending,,False
gemini,3,gemini/rule,POST /api/v2/verify,post_/api/v2/verify,test_post__api_v2_verify_wrong_type_body_user_id_coercible_0,wrong_type,user_id_coercible_0,[rule:wrong_type] Pass coercible_0 wrong type for body field 'user_id' (expected integer).,wrong_type,pending,,False
gemini,3,gemini/rule,POST /api/v2/verify,post_/api/v2/verify,test_post__api_v2_verify_boundary_body_user_id_example,unknown,,"[rule:boundary] body field 'user_id' = 1 (example, policy=must_pass).",unknown,pending,,False
gemini,3,gemini/rule,POST /api/v2/verify,post_/api/v2/verify,test_post__api_v2_verify_boundary_body_user_id_below_example,unknown,,"[rule:boundary] body field 'user_id' = 0 (below_example, policy=must_pass).",unknown,pending,,False
gemini,3,gemini/rule,POST /api/v2/verify,post_/api/v2/verify,test_post__api_v2_verify_boundary_body_user_id_above_example,unknown,,"[rule:boundary] body field 'user_id' = 2 (above_example, policy=must_pass).",unknown,pending,,False
gemini,3,gemini/rule,POST /api/v2/verify-template,post_/api/v2/verify-template,test_post__api_v2_verify_template_positive,positive,,[rule:positive] Match/verify — execution success + domain score validation.,positive,pending,,False
gemini,3,gemini/rule,POST /api/v2/verify-template,post_/api/v2/verify-template,test_post__api_v2_verify_template_missing_body_template_data,missing_required,template_data,[rule:missing_required] Omit required body field 'template_data'.,missing_required,pending,,False
gemini,3,gemini/rule,POST /api/v2/verify-template,post_/api/v2/verify-template,test_post__api_v2_verify_template_missing_body_user_id,missing_required,user_id,[rule:missing_required] Omit required body field 'user_id'.,missing_required,pending,,False
gemini,3,gemini/rule,POST /api/v2/verify-template,post_/api/v2/verify-template,test_post__api_v2_verify_template_wrong_type_body_user_id_strict,wrong_type,user_id_strict,[rule:wrong_type] Pass strict wrong type for body field 'user_id' (expected integer).,wrong_type,pending,,False
gemini,3,gemini/rule,POST /api/v2/verify-template,post_/api/v2/verify-template,test_post__api_v2_verify_template_wrong_type_body_user_id_coercible_1,wrong_type,user_id_coercible_1,[rule:wrong_type] Pass coercible_1 wrong type for body field 'user_id' (expected integer).,wrong_type,pending,,False
gemini,3,gemini/rule,POST /api/v2/verify-template,post_/api/v2/verify-template,test_post__api_v2_verify_template_wrong_type_body_user_id_coercible_0,wrong_type,user_id_coercible_0,[rule:wrong_type] Pass coercible_0 wrong type for body field 'user_id' (expected integer).,wrong_type,pending,,False
gemini,3,gemini/rule,POST /api/v2/verify-template,post_/api/v2/verify-template,test_post__api_v2_verify_template_boundary_body_user_id_example,unknown,,"[rule:boundary] body field 'user_id' = 12345 (example, policy=must_pass).",unknown,pending,,False
gemini,3,gemini/rule,POST /api/v2/verify-template,post_/api/v2/verify-template,test_post__api_v2_verify_template_boundary_body_user_id_below_example,unknown,,"[rule:boundary] body field 'user_id' = 12344 (below_example, policy=must_pass).",unknown,pending,,False
gemini,3,gemini/rule,POST /api/v2/verify-template,post_/api/v2/verify-template,test_post__api_v2_verify_template_boundary_body_user_id_above_example,unknown,,"[rule:boundary] body field 'user_id' = 12346 (above_example, policy=must_pass).",unknown,pending,,False
gemini,3,gemini/rule,GET /health,get_/health,test_get__health_positive,positive,,[rule:positive] Happy-path — valid request should succeed.,positive,pending,,False
gemini,3,gemini/rule,GET /stats,get_/stats,test_get__stats_positive,positive,,[rule:positive] Happy-path — valid request should succeed.,positive,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/all-in-one,post_/api/v2/all-in-one,test_post__api_v2_all_in_one_positive,positive,,[rule:positive] Raw image endpoint — relation-valid payload should pass.,positive,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/all-in-one,post_/api/v2/all-in-one,test_post__api_v2_all_in_one_wrong_type_body_channel_strict,wrong_type,channel_strict,[rule:wrong_type] Pass strict wrong type for body field 'channel' (expected integer).,wrong_type,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/all-in-one,post_/api/v2/all-in-one,test_post__api_v2_all_in_one_wrong_type_body_channel_coercible_1,wrong_type,channel_coercible_1,[rule:wrong_type] Pass coercible_1 wrong type for body field 'channel' (expected integer).,wrong_type,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/all-in-one,post_/api/v2/all-in-one,test_post__api_v2_all_in_one_wrong_type_body_channel_coercible_0,wrong_type,channel_coercible_0,[rule:wrong_type] Pass coercible_0 wrong type for body field 'channel' (expected integer).,wrong_type,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/all-in-one,post_/api/v2/all-in-one,test_post__api_v2_all_in_one_wrong_type_body_height_strict,wrong_type,height_strict,[rule:wrong_type] Pass strict wrong type for body field 'height' (expected integer).,wrong_type,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/all-in-one,post_/api/v2/all-in-one,test_post__api_v2_all_in_one_wrong_type_body_height_coercible_1,wrong_type,height_coercible_1,[rule:wrong_type] Pass coercible_1 wrong type for body field 'height' (expected integer).,wrong_type,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/all-in-one,post_/api/v2/all-in-one,test_post__api_v2_all_in_one_wrong_type_body_height_coercible_0,wrong_type,height_coercible_0,[rule:wrong_type] Pass coercible_0 wrong type for body field 'height' (expected integer).,wrong_type,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/all-in-one,post_/api/v2/all-in-one,test_post__api_v2_all_in_one_wrong_type_body_width_strict,wrong_type,width_strict,[rule:wrong_type] Pass strict wrong type for body field 'width' (expected integer).,wrong_type,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/all-in-one,post_/api/v2/all-in-one,test_post__api_v2_all_in_one_wrong_type_body_width_coercible_1,wrong_type,width_coercible_1,[rule:wrong_type] Pass coercible_1 wrong type for body field 'width' (expected integer).,wrong_type,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/all-in-one,post_/api/v2/all-in-one,test_post__api_v2_all_in_one_wrong_type_body_width_coercible_0,wrong_type,width_coercible_0,[rule:wrong_type] Pass coercible_0 wrong type for body field 'width' (expected integer).,wrong_type,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/all-in-one,post_/api/v2/all-in-one,test_post__api_v2_all_in_one_raw_image_relation_valid,unknown,,[rule:raw_image_relation] w=4xh=4xc=3=48B -> image_data size matches (must_pass).,unknown,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/all-in-one,post_/api/v2/all-in-one,test_post__api_v2_all_in_one_raw_image_relation_mismatch,unknown,,[rule:raw_image_relation] w=4xh=4xc=3=48B but image_data=10B -> size mismatch (must_fail).,unknown,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/all-in-one,post_/api/v2/all-in-one,test_post__api_v2_all_in_one_raw_image_relation_invalid_channel,unknown,,[rule:raw_image_relation] channel=0 with raw image payload.,unknown,pending,,False
anthropic,3,anthropic/rule,GET /api/v2/auto-template-update,get_/api/v2/auto-template-update,test_get__api_v2_auto_template_update_positive,positive,,[rule:positive] Happy-path — valid request should succeed.,positive,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/auto-template-update,post_/api/v2/auto-template-update,test_post__api_v2_auto_template_update_positive,positive,,[rule:positive] Happy-path — valid request should succeed.,positive,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/auto-template-update,post_/api/v2/auto-template-update,test_post__api_v2_auto_template_update_wrong_type_body_mode_strict,wrong_type,mode_strict,[rule:wrong_type] Pass strict wrong type for body field 'mode' (expected integer).,wrong_type,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/auto-template-update,post_/api/v2/auto-template-update,test_post__api_v2_auto_template_update_wrong_type_body_mode_coercible_1,wrong_type,mode_coercible_1,[rule:wrong_type] Pass coercible_1 wrong type for body field 'mode' (expected integer).,wrong_type,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/auto-template-update,post_/api/v2/auto-template-update,test_post__api_v2_auto_template_update_wrong_type_body_mode_coercible_0,wrong_type,mode_coercible_0,[rule:wrong_type] Pass coercible_0 wrong type for body field 'mode' (expected integer).,wrong_type,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/auto-template-update,post_/api/v2/auto-template-update,test_post__api_v2_auto_template_update_boundary_body_mode_example,unknown,,"[rule:boundary] body field 'mode' = 1 (example, policy=must_pass).",unknown,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/auto-template-update,post_/api/v2/auto-template-update,test_post__api_v2_auto_template_update_boundary_body_mode_below_example,unknown,,"[rule:boundary] body field 'mode' = 0 (below_example, policy=must_pass).",unknown,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/auto-template-update,post_/api/v2/auto-template-update,test_post__api_v2_auto_template_update_boundary_body_mode_above_example,unknown,,"[rule:boundary] body field 'mode' = 2 (above_example, policy=must_pass).",unknown,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/delete,post_/api/v2/delete,test_post__api_v2_delete_positive,positive,,[rule:positive] Happy-path — valid request should succeed.,positive,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/delete,post_/api/v2/delete,test_post__api_v2_delete_wrong_type_body_user_id_strict,wrong_type,user_id_strict,[rule:wrong_type] Pass strict wrong type for body field 'user_id' (expected integer).,wrong_type,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/delete,post_/api/v2/delete,test_post__api_v2_delete_wrong_type_body_user_id_coercible_1,wrong_type,user_id_coercible_1,[rule:wrong_type] Pass coercible_1 wrong type for body field 'user_id' (expected integer).,wrong_type,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/delete,post_/api/v2/delete,test_post__api_v2_delete_wrong_type_body_user_id_coercible_0,wrong_type,user_id_coercible_0,[rule:wrong_type] Pass coercible_0 wrong type for body field 'user_id' (expected integer).,wrong_type,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/delete,post_/api/v2/delete,test_post__api_v2_delete_boundary_body_user_id_example,unknown,,"[rule:boundary] body field 'user_id' = 1 (example, policy=must_pass).",unknown,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/delete,post_/api/v2/delete,test_post__api_v2_delete_boundary_body_user_id_below_example,unknown,,"[rule:boundary] body field 'user_id' = 0 (below_example, policy=must_pass).",unknown,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/delete,post_/api/v2/delete,test_post__api_v2_delete_boundary_body_user_id_above_example,unknown,,"[rule:boundary] body field 'user_id' = 2 (above_example, policy=must_pass).",unknown,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/detect,post_/api/v2/detect,test_post__api_v2_detect_positive,positive,,[rule:positive] Face operation — schema-valid request; probe_only (real face image required for domain success).,positive,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/enroll,post_/api/v2/enroll,test_post__api_v2_enroll_positive,positive,,[rule:positive] Face operation — schema-valid request; probe_only (real face image required for domain success).,positive,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/enroll,post_/api/v2/enroll,test_post__api_v2_enroll_wrong_type_body_user_id_strict,wrong_type,user_id_strict,[rule:wrong_type] Pass strict wrong type for body field 'user_id' (expected integer).,wrong_type,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/enroll,post_/api/v2/enroll,test_post__api_v2_enroll_wrong_type_body_user_id_coercible_1,wrong_type,user_id_coercible_1,[rule:wrong_type] Pass coercible_1 wrong type for body field 'user_id' (expected integer).,wrong_type,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/enroll,post_/api/v2/enroll,test_post__api_v2_enroll_wrong_type_body_user_id_coercible_0,wrong_type,user_id_coercible_0,[rule:wrong_type] Pass coercible_0 wrong type for body field 'user_id' (expected integer).,wrong_type,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/enroll,post_/api/v2/enroll,test_post__api_v2_enroll_boundary_body_user_id_example,unknown,,"[rule:boundary] body field 'user_id' = 1 (example, policy=must_pass).",unknown,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/enroll,post_/api/v2/enroll,test_post__api_v2_enroll_boundary_body_user_id_below_example,unknown,,"[rule:boundary] body field 'user_id' = 0 (below_example, policy=must_pass).",unknown,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/enroll,post_/api/v2/enroll,test_post__api_v2_enroll_boundary_body_user_id_above_example,unknown,,"[rule:boundary] body field 'user_id' = 2 (above_example, policy=must_pass).",unknown,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/enroll-template,post_/api/v2/enroll-template,test_post__api_v2_enroll_template_positive,positive,,[rule:positive] Happy-path — valid request should succeed.,positive,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/enroll-template,post_/api/v2/enroll-template,test_post__api_v2_enroll_template_wrong_type_body_user_id_strict,wrong_type,user_id_strict,[rule:wrong_type] Pass strict wrong type for body field 'user_id' (expected integer).,wrong_type,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/enroll-template,post_/api/v2/enroll-template,test_post__api_v2_enroll_template_wrong_type_body_user_id_coercible_1,wrong_type,user_id_coercible_1,[rule:wrong_type] Pass coercible_1 wrong type for body field 'user_id' (expected integer).,wrong_type,pending,,False
anthropic,3,anthropic/rule,POST /api/v2/enroll-template,post_/api/v2/enroll-template,test_post__api_v2_enroll_template_wrong_type_body_user_id_coercible_0,wrong_type,user_id_coercible_0,[rule:wrong_type] Pass coercible_0 wrong type for body field 'user_id' (expected integer).,wrong_type,pending,,False
